item_id,tf_code,business_line,category_name,item_title,item_description,level_1,level_2,reason
905947,2774gr,,حلوا و خرما,حلوا هویج ارومیه 500 گرم,500 گرم، شیره انگور، هویج، گردو، وانیل، پودر هل,رمضان,حلوا,انواع حلوا (هویج)
905948,2774gr,,حلوا و خرما,حلوا پسته ارومیه 500 گرم,500 گرم، شیره انگور، پسته، وانیل، پودر هل,رمضان,حلوا,انواع حلوا (پسته)
905946,2774gr,,حلوا و خرما,حلوا گردو ارومیه 500 گرم,500 گرم، شیره انگور، گردو، چوبک، پودر هل,رمضان,حلوا,انواع حلوا (گردو)
905950,2774gr,,حلوا و خرما,خرما خاصویی ۲۵۰ گرم,,رمضان,خرما,انواع خرما (خاصویی)
905949,2774gr,,حلوا و خرما,خرما پیارم ۲۵۰ گرم,,رمضان,خرما,انواع خرما (پیارم)
1325922,2861p9,,خرما,خرما خاصویی ۵۰۰ گرم,±50 گرم,رمضان,خرما,انواع خرما (خاصویی)
1325920,2861p9,,خرما,خرما ربی ۵۰۰ گرم,±50 گرم,رمضان,خرما,انواع خرما (ربی)
1325921,2861p9,,خرما,خرما زاهدی ۵۰۰ گرم,±50 گرم,رمضان,خرما,انواع خرما (زاهدی)
1047963,28683l,,خرما,خرما خاصویی هیرو (دو کیلوگرم),± 50 گرم، محصول امسال,رمضان,خرما,انواع خرما (خاصویی)
1047970,28683l,,خرما,خرما خشک زاهدی 250 گرم,± 50 گرم، محصول امسال,رمضان,خرما,انواع خرما (زاهدی)
1047969,28683l,,خرما,خرما خشک پیارم 250 گرم,± 50 گرم,رمضان,خرما,انواع خرما (پیارم)
1047971,28683l,,خرما,خرما خشک یاقوتی 250 گرم,± 50 گرم، محصول امسال,رمضان,خرما,انواع خرما (یاقوتی)
1047962,28683l,,خرما,خرما دشتستان (دو کیلوگرم),± 50 گرم، محصول امسال,رمضان,خرما,انواع خرما (دشتستان)
1047968,28683l,,خرما,خرما زرد عسلی تازه (750 تا 850 گرم),,رمضان,خرما,انواع خرما (زرد عسلی)
1047965,28683l,,خرما,خرما مضافتی دو رج (700 تا 800 گرم),,رمضان,خرما,انواع خرما (مضافتی)
1047964,28683l,,خرما,خرما مضافتی سه رج (700 تا 800 گرم),,رمضان,خرما,انواع خرما (مضافتی)
1047967,28683l,,خرما,خرما کبکاب صادراتی (یک کیلوگرم),± 50 گرم,رمضان,خرما,انواع خرما (کبکاب)
1047966,28683l,,خرما,خرما کبکاب یک کیلوگرم,± 50 گرم,رمضان,خرما,انواع خرما (کبکاب)
670417,233xxz,,شیرینی خانگی,ترافل خرما کاپیا بسته 15 عددی,"ترافل خرما یک ترکیب جذاب از خرما و مغز و شکلات هستش که برای پذیرایی مخصوصا کنار چای میتونم بگم از این جذاب تر وجود نداره، یک بسته کوچیکش رو امتحان کنید محتویات: خرما چرخ شده، کره، ادویه، مغز گردو، بادام زمینی، بادام درختی، فندق، نارگیل، کنجد، با روکش شکلات

",رمضان,خرما,ترافل خرما که ماده اصلی آن خرما است.
670416,233xxz,,شیرینی خانگی,حلوا دولایه زعفرانی کاپیا دو عددی 80 گرمی,"این حلوا دو لایه هستش و لایه زیرین اون یک شیرینی نرم و خوشمزه رو داره شاهکار حلوای زعفرانی کاپیا با تزئین پسته و بادام و عطر زعفرانی خودش میتونه بهترین تجربه شما از خوردن حلوا باشه، بطوریکه طعمش رو محاله از خاطر ببرید و امکان نداره دلتون نخوادش

",رمضان,حلوا,حلوای زعفرانی دو لایه مخصوص افطار.
609695,233xxz,,خشکبار,چیپس خرما دارچینی آنید 700 گرم,"کاهش وزن و رسیدن به تناسب اندام
درمان کم خونی ناشی از فقر آهن
مبارزه با بیماری‌های التهابی
درمان هموروئید
رفع رفلاکس معده
کاهش استرس
درمان اسهال
در خرما مقادیری پروتئین، فسفر، منیزیم، آهن و ویتامین‌‌هایی نظیر B و ویتامین C و A وجود دارد",رمضان,خرما,چیپس خرما که ماهیت آن خرما است.
609707,233xxz,,خشکبار,چیپس خرما دارچینی صادراتی آنید دو کیلوگرم,درخرما موادمغذی ومفیدی همچون پروتئین، فسفر، منیزیم، آهن و ویتامین هایی نظیر B و ویتامین C و A وجود دارد، مزایا: کاهش وزن و رسیدن به تناسب اندام، درمان کم خونی ناشی از فقر آهن، مبارزه با بیماری های التهابی، درمان هموروئید، رفع رفلاکس معده، کاهش استرس، درمان اسهال,رمضان,خرما,چیپس خرma که ماهیت آن خرما است.
609694,233xxz,,خشکبار,چیپس خرما زنجبیلی آنید 700 گرم,کاهش وزن و رسیدن به تناسب اندام، درمان کم خونی ناشی از فقر آهن، مبارزه با بیماری های التهابی، درمان هموروئید، رفع رفلاکس معده، کاهش استرس، درمان اسهال، در خرما مقادیری پروتئین، فسفر، منیزیم، آهن و ویتامین هایی نظیر B و ویتامین C و A وجود دارد,رمضان,خرما,چیپس خرما که ماهیت آن خرما است.
609705,233xxz,,خشکبار,چیپس خرما زنجبیلی صادراتی آنید دو کیلوگرم,درخرما مواد مغذی ومفیدی همچون پروتئین، فسفر، منیزیم، آهن و ویتامین هایی نظیر B  و ویتامین C و A وجود دارد، مزایا: کاهش وزن و رسیدن به تناسب اندام، درمان کم خونی ناشی از فقر آهن، مبارزه با بیماری های التهابی، درمان هموروئید، رفع رفلاکس معده، کاهش استرس، درمان اسهال,رمضان,خرما,چیپس خرما که ماهیت آن خرما است.
609696,233xxz,,خشکبار,چیپس خرما ساده آنید 700 گرم,"کاهش وزن و رسیدن به تناسب اندام
درمان کم خونی ناشی از فقر آهن
مبارزه با بیماری‌های التهابی
درمان هموروئید
رفع رفلاکس معده
کاهش استرس
درمان اسهال
در خرما مقادیری پروتئین، فسفر، منیزیم، آهن و ویتامین‌‌هایی نظیر B و ویتامین C و A وجود دارد",رمضان,خرما,چیپس خرما که ماهیت آن خرما است.
609700,233xxz,,خشکبار,چیپس خرما صادراتی آنید دو کیلوگرم,درخرما موادمغذی ومفیدی همچون پروتئین، فسفر، منیزیم، آهن و ویتامین هایی نظیر B و ویتامین C و A وجود دارد، مزایا: کاهش وزن و رسیدن به تناسب اندام، درمان کم خونی ناشی از فقر آهن، مبارزه با بیماری های التهابی، درمان هموروئید، رفع رفلاکس معده، کاهش استرس، درمان اسهال,رمضان,خرما,چیپس خرما که ماهیت آن خرما است.
609693,233xxz,,خشکبار,چیپس خرما کاکائویی آنید 700 گرم,"کاهش وزن و رسیدن به تناسب اندام
درمان کم خونی ناشی از فقر آهن
مبارزه با بیماری‌های التهابی
درمان هموروئید
رفع رفلاکس معده
کاهش استرس
درمان اسهال
در خرما مقادیری پروتئین، فسفر، منیزیم، آهن و ویتامین‌‌هایی نظیر B و ویتامین C و A وجود دارد",رمضان,خرما,چیپس خرما که ماهیت آن خرما است.
609698,233xxz,,خشکبار,چیپس خرما کاکائویی صادراتی آنید دو کیلوگرم,درخرما موادمغذی ومفیدی همچون پروتئین، فسفر، منیزیم، آهن و ویتامین هایی نظیرB و ویتامین C و A وجود دارد، مزایا: کاهش وزن و رسیدن به تناسب اندام، درمان کم خونی ناشی از فقر آهن، مبارزه با بیماری های التهابی، درمان هموروئید، رفع رفلاکس معده، کاهش استرس، درمان اسهال,رمضان,خرما,چیپس خرما که ماهیت آن خرما است.
1435697,23kw6w,,ارده و شیره,حلوا ارده شکپوی 500 گرم,±50 گرم,UNKNOWN,UNKNOWN,حلوا ارده با حلوای دسر مخصوص افطار متفاوت است و در این دسته‌بندی نمی‌گنجد.
1346719,23kw6w,,خشکبار,خرما خاصویی 250 گرم,±۵۰ گرم,رمضان,خرما,خرما خاصویی.
1346718,23kw6w,,خشکبار,خرما خنیزی 250 گرم,±۵۰ گرم,رمضان,خرما,خرما خنیزی.
1346720,23kw6w,,خشکبار,خرما زاهدی 250 گرم,±۵۰ گرم,رمضان,خرما,خرما زاهدی.
1346717,23kw6w,,خشکبار,خرما پیارم اعلا 250 گرم,±۵۰ گرم,رمضان,خرما,خرما پیارم.
1346716,23kw6w,,خشکبار,خرما پیارم شکلاتی 250 گرم,±۵۰ گرم,رمضان,خرما,خرما پیارم با روکش شکلات.
1346721,23kw6w,,خشکبار,خرما پیارم متوسط 250 گرم,±۵۰ گرم,رمضان,خرما,خرما پیارم.
871296,23z9zp,,خشکبار,خرما زاهدی یک کیلوگرم,±50 گرم,رمضان,خرما,خرما زاهدی.
