item_id,category_name,item_description,item_title,business_line,tf_code
1744,ماهی و میگو,600 گرم,ماهی حلوا سیاه,Meat Shop,2o3w32
6891,شیرینی خشک,500 گرم,زولبیا بامیه یک کیلوگرم,Pastry,5zkxr2
20760,شیرینی سنتی,زولبیا بامیه,زولبیا بامیه 1 کیلوگرم,Pastry,517635
35969,خرما,±50 گرم,خرما زاهدی دو کیلوگرم,,5m38p5
35970,خرما,±50 گرم,خرما پیارم دو کیلوگرم,,5m38p5
35971,خرما,±50 گرم,خرما آلویی دو کیلوگرم,,5m38p5
49040,ماهی و میگو,,ماهی حلوا کفشک یک کیلوگرم,Meat Shop,5gn832
51986,شیرینی جات سنتی,شیرینی مینی گوشفیل,شیرینی مینی گوشفیل 500 گرم (30 عدد),Pastry,5zzwz5
51987,شیرینی جات سنتی,گوش فیل,گوشفیل یک عدد (180 تا 200 گرم),Pastry,5zzwz5
52061,صبحانه,"فرنی350گرم، نان سنگک 150 گرم، بسته بندی، قاشق، ترکیبات: نشاسته، شیر، گلاب، شکر",فرنی,Restaurant,5k4w12
60821,پیش غذا,"250 گرم، برنج نیمه درجه یک ایرانی، زعفران، گلاب، خلال بادام، دارچین

",شله زرد,Restaurant,5k19z5
61763,شیرینی خشک, یک کیلوگرم,زولبیا بامیه,Pastry,5kkn75
66694,آش و حلیم,,حلوا,Restaurant,2z87r2
66918,شیرینی خشک,,زولبیا و بامیه یک کیلوگرم,Pastry,5nmwp2
66931,شیرینی سنتی,"نشاسته، شکر، گلاب، زعفران، روغن، مغز بادام و پسته ",حلوا مسقطی لاری پر مغز,Pastry,5nmwp2
67990,صبحانه و عصرانه ,به همراه نان قاق (نان قندی),فرنی,Restaurant,281z75
69447,شیرینی سنتی,,حلوا فلزی چهار مغز پانسو,Pastry,2ln462
69558,خشکبار,خرما پیارم دمباز,خرما پیارم دمباز 1 کیلوگرم,Pastry,2ln462
69774,دسر,"آرد، روغن",حلوا 500 گرم,Restaurant,2m1on2
71198,زولبیا بامیه,یک کیلوگرم,زولبیا بامیه,Pastry,5worz5
72740,خشکبار,یک کیلوگرم,خرما کبکاب,Pastry,26y6g5
72741,خشکبار,,خرما پیارم یک کیلوگرم,Pastry,26y6g5
73330,صبحانه,"400 گرم، آرد برنج، شکر، گلاب، زعفران، پودر نارگیل",حلوا زعفرانی,Restaurant,236p75
73791,خواربار,خرما بسته بندی,خرما بسته بندی یک کیلوگرم,Meat Shop,2nm3p5
74540,پیش غذا,"150 گرم حلوا، شامل ارد، زعفران، گلاب، دست ساز",حلوا زرد,Restaurant,2976l2
74654,سالاد و پیش غذا,"حلوا شیرازی زعفرانی، یک نفره",حلوا,Restaurant,2wo362
75739,غذای اصلی,یک کیلو,رنگینک خرما,Restaurant,2nm1y5
77109,صبحانه,"شیر، آرد، شکر، گلاب، هل، دارچین، گل محمدی",فرنی,Cafe,5mrrx2
78332,سایر,,شیره خرما,,26yx45
78892,سوغات,یک کیلوگرم,یوخه رژیمی با شیره خرما,Pastry,2nywz5
79784,سالاد و پیش غذا,"آرد سفید، زعفران، گلاب، شکر، 150 گرم ",حلوا زعفرانی,Restaurant,29rlz5
81705,شیرینی سنتی,"زولبیا و بامیه، شهد عسل، بدون تزئین مناسب مراسم مذهبی و پذیرایی همراه چای",زولبیا بامیه 500 گرم,Pastry,56k372
84748,کیک و دسر,کوکی رژیمی خرما گردو,کوکی خرما گردو,Cafe,261yl5
84998,شیرینی خشک,زولبیا رژیمی,زولبیا رژیمی 500 گرم (بسته بندی),Pastry,27r4x5
87247,شیرینی سنتی,شیرینی گوش فیل,شیرینی گوش فیل یک کیلوگرم (18 تا 20 عدد),Pastry,27r7x5
89069,غذای سنتی,500گرم,حلوا زرد زعفرانی,Restaurant,24k665
95899,خشکبار,خرما خشت,خرما خشت ۲ کیلوگرم,Pastry,2o8yp5
96559,غذای اصلی,"یک کیلوگرم، حلوا، زعفران",حلوا زرد زعفرانی یک کیلوگرم با ظرف,Restaurant,5wzyw2
98568,صبحانه,,تست کره بادام زمینی و خرما,Cafe,5oo675
98636,خشکبار,یک کیلوگرم,خرما پیارم,Pastry,21npg5
98637,خشکبار,یک کیلوگرم,خرما کبکاب,Pastry,21npg5
99928,غذای اصلی,,حلوا,Restaurant,5n1k32
100943,دسر,"700 گرم،  آرد، برنج، عفران، گلاب",حلوا زعفرانی 700 گرم,Restaurant,5xy382
102269,دسر,"700 گرم، ارد، برنج، عفران، گلاب",حلوا زعفرانی,Restaurant,5n1wx2
103073,پیش غذا,,حلوا گرم,Cafe,2po195
103153,پیش غذا,,حلوا,Restaurant,2ywy82
106082,زولبيا و باميه,زولبيا رژيمي بدون باميه,زولبيا رژيمي دو كيلوگرم,Pastry,28n3z2
112499,غذای پرسی,,فرنی,Cafe,266n9g
114846,پیش غذا,,حلوا,Restaurant,2oxypw
116620,صبحانه,"۴۰۰گرم فرنی، بدون نان، بدون دورچین

",فرنی,Restaurant,5o4op2
119839,شیرینی خشک,یک کیلوگرم,زولبیا بامیه,Pastry,5319rl
120727,سرویس اضافه,"30 گرم، دست ساز",حلوا یک نفره,Restaurant,2p8r3o
122979,سایر محصولات,,حلوا ارده یک کیلوگرم,Pastry,5777mw
123952,صبحانه,,فرنی,Restaurant,59xxmw
126607,شیرینی خشک,,زولبیا 500 گرم,Pastry,54nnoz
135069,نان,یک کیلوگرم,گتک شیره خرما و انگور بدون شکر,Pastry,277y3p
135755,دسر,,فرنی,Restaurant,53o165
135756,دسر,,فرنی شکلاتی,Restaurant,53o165
135757,دسر,,فرنی زعفرانی,Restaurant,53o165
140725,صبحانه,"دو عدد تخم مرغ، خرما
 150گرم",خرما بریون,Cafe,266n9g
144533,گوشت سفید,"ماهی جنوب حلوا سیاه تازه گوشت سفید بدون استخوان، یک کیلوگرم",ماهی جنوب حلوا سیاه,Meat Shop,59xxpw
145649,نوشیدنی گرم,,فرنی,Cafe,5w377y
158239,زولبیا و بامیه,یک کیلوگرم,زولبیا و بامیه,Pastry,5w39zz
180572,شیرینی خشک,,زولبیا یک کیلوگرم,Pastry,5gxpo8
180832,پیش غذا,,حلوا,Restaurant,2kgrg2
